2021-03-20/18:13:18		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-03-20/18:13:19		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-03-20/18:13:19		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-03-20/18:13:20		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-03-20/18:13:20		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-03-20/18:13:20		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-03-20/18:13:21		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-03-20/18:13:22		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-03-20/18:13:22		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-03-20/18:36:56		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-03-20/18:36:56		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-03-20/18:36:56		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-03-20/18:36:57		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-03-20/18:36:57		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-03-20/18:36:57		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-03-20/18:36:58		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-03-20/18:36:58		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-03-20/18:36:59		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-03-20/20:29:28		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-03-20/20:29:28		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-03-20/20:29:28		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-03-20/20:29:29		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-03-20/20:29:29		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-03-20/20:29:30		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-03-20/20:29:30		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-03-20/20:29:31		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-03-20/20:29:31		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-03-20/21:14:36		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-03-20/21:14:37		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-03-20/21:14:37		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-03-20/21:14:38		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-03-20/21:14:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-03-20/21:14:40		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-03-20/21:14:41		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-03-20/21:14:42		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-03-20/21:14:42		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-03-20/22:14:08		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-03-20/22:14:09		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-03-20/22:14:09		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-03-20/22:14:10		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-03-20/22:14:11		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-03-20/22:14:11		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-03-20/22:14:13		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-03-20/22:14:14		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-03-20/22:14:14		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-03-20/23:21:24		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-03-20/23:21:25		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-03-20/23:21:25		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-03-20/23:21:25		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-03-20/23:21:26		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-03-20/23:21:27		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-03-20/23:21:27		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-03-20/23:21:28		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-03-20/23:21:28		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-03-21/00:34:40		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-03-21/00:34:40		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-03-21/00:34:41		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-03-21/00:34:41		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-03-21/00:34:41		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-03-21/00:34:42		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-03-21/00:34:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-03-21/00:34:43		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-03-21/00:34:43		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-03-27/17:43:27		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-03-27/17:43:27		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-03-27/17:43:28		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-03-27/17:43:28		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-03-27/17:43:29		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-03-27/17:43:29		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-03-27/17:43:30		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-03-27/17:43:30		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-03-27/17:43:31		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-07-02/17:53:07		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-07-02/17:53:08		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-07-02/17:53:08		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-07-02/17:53:08		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-07-02/17:53:09		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-07-02/17:53:09		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-07-02/17:53:10		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-07-02/17:53:10		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-07-02/17:53:10		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-07-02/18:07:56		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-07-02/18:07:57		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-07-02/18:07:57		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-07-02/18:07:58		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-07-02/18:07:58		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-07-02/18:07:58		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-07-02/18:07:59		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-07-02/18:08:00		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-07-02/18:08:00		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-07-02/18:10:55		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-07-02/18:10:55		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-07-02/18:10:56		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-07-02/18:10:56		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-07-02/18:10:56		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-07-02/18:10:57		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-07-02/18:10:57		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-07-02/18:10:58		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-07-02/18:10:58		 wafer_29012020_050617.csv: File Transformed successfully!!
