,columns,missing values count
0,Sensor - 1,11
1,Sensor - 2,33
2,Sensor - 3,143
3,Sensor - 4,143
4,Sensor - 5,143
5,Sensor - 6,143
6,Sensor - 7,143
7,Sensor - 8,88
8,Sensor - 9,22
9,Sensor - 10,22
10,Sensor - 11,22
11,Sensor - 12,22
12,Sensor - 13,22
13,Sensor - 14,33
14,Sensor - 15,33
15,Sensor - 16,33
16,Sensor - 17,33
17,Sensor - 18,33
18,Sensor - 19,33
19,Sensor - 20,0
20,Sensor - 21,0
21,Sensor - 22,11
22,Sensor - 23,11
23,Sensor - 24,11
24,Sensor - 25,11
25,Sensor - 26,11
26,Sensor - 27,11
27,Sensor - 28,11
28,Sensor - 29,11
29,Sensor - 30,11
30,Sensor - 31,11
31,Sensor - 32,11
32,Sensor - 33,0
33,Sensor - 34,0
34,Sensor - 35,0
35,Sensor - 36,0
36,Sensor - 37,0
37,Sensor - 38,0
38,Sensor - 39,0
39,Sensor - 40,0
40,Sensor - 41,153
41,Sensor - 42,153
42,Sensor - 43,0
43,Sensor - 44,0
44,Sensor - 45,0
45,Sensor - 46,0
46,Sensor - 47,0
47,Sensor - 48,0
48,Sensor - 49,0
49,Sensor - 50,0
50,Sensor - 51,0
51,Sensor - 52,0
52,Sensor - 53,0
53,Sensor - 54,11
54,Sensor - 55,11
55,Sensor - 56,11
56,Sensor - 57,11
57,Sensor - 58,11
58,Sensor - 59,11
59,Sensor - 60,54
60,Sensor - 61,54
61,Sensor - 62,54
62,Sensor - 63,54
63,Sensor - 64,54
64,Sensor - 65,54
65,Sensor - 66,54
66,Sensor - 67,54
67,Sensor - 68,54
68,Sensor - 69,54
69,Sensor - 70,54
70,Sensor - 71,54
71,Sensor - 72,54
72,Sensor - 73,5745
73,Sensor - 74,5745
74,Sensor - 75,54
75,Sensor - 76,264
76,Sensor - 77,264
77,Sensor - 78,264
78,Sensor - 79,264
79,Sensor - 80,264
80,Sensor - 81,264
81,Sensor - 82,264
82,Sensor - 83,264
83,Sensor - 84,11
84,Sensor - 85,22
85,Sensor - 86,6629
86,Sensor - 87,0
87,Sensor - 88,0
88,Sensor - 89,0
89,Sensor - 90,552
90,Sensor - 91,552
91,Sensor - 92,53
92,Sensor - 93,22
93,Sensor - 94,22
94,Sensor - 95,53
95,Sensor - 96,53
96,Sensor - 97,53
97,Sensor - 98,53
98,Sensor - 99,53
99,Sensor - 100,53
100,Sensor - 101,53
101,Sensor - 102,53
102,Sensor - 103,53
103,Sensor - 104,22
104,Sensor - 105,22
105,Sensor - 106,53
106,Sensor - 107,53
107,Sensor - 108,53
108,Sensor - 109,53
109,Sensor - 110,3128
110,Sensor - 111,3128
111,Sensor - 112,3128
112,Sensor - 113,6025
113,Sensor - 114,0
114,Sensor - 115,0
115,Sensor - 116,0
116,Sensor - 117,0
117,Sensor - 118,0
118,Sensor - 119,264
119,Sensor - 120,0
120,Sensor - 121,0
121,Sensor - 122,33
122,Sensor - 123,33
123,Sensor - 124,33
124,Sensor - 125,33
125,Sensor - 126,33
126,Sensor - 127,33
127,Sensor - 128,33
128,Sensor - 129,33
129,Sensor - 130,33
130,Sensor - 131,33
131,Sensor - 132,33
132,Sensor - 133,33
133,Sensor - 134,33
134,Sensor - 135,33
135,Sensor - 136,0
136,Sensor - 137,11
137,Sensor - 138,33
138,Sensor - 139,143
139,Sensor - 140,143
140,Sensor - 141,143
141,Sensor - 142,143
142,Sensor - 143,143
143,Sensor - 144,88
144,Sensor - 145,22
145,Sensor - 146,22
146,Sensor - 147,22
147,Sensor - 148,22
148,Sensor - 149,22
149,Sensor - 150,33
150,Sensor - 151,33
151,Sensor - 152,33
152,Sensor - 153,33
153,Sensor - 154,33
154,Sensor - 155,33
155,Sensor - 156,0
156,Sensor - 157,0
157,Sensor - 158,8347
158,Sensor - 159,8347
159,Sensor - 160,11
160,Sensor - 161,11
161,Sensor - 162,11
162,Sensor - 163,11
163,Sensor - 164,11
164,Sensor - 165,11
165,Sensor - 166,11
166,Sensor - 167,11
167,Sensor - 168,11
168,Sensor - 169,11
169,Sensor - 170,11
170,Sensor - 171,0
171,Sensor - 172,0
172,Sensor - 173,0
173,Sensor - 174,0
174,Sensor - 175,0
175,Sensor - 176,0
176,Sensor - 177,0
177,Sensor - 178,0
178,Sensor - 179,153
179,Sensor - 180,0
180,Sensor - 181,0
181,Sensor - 182,0
182,Sensor - 183,0
183,Sensor - 184,0
184,Sensor - 185,0
185,Sensor - 186,0
186,Sensor - 187,0
187,Sensor - 188,0
188,Sensor - 189,0
189,Sensor - 190,0
190,Sensor - 191,11
191,Sensor - 192,11
192,Sensor - 193,11
193,Sensor - 194,11
194,Sensor - 195,11
195,Sensor - 196,11
196,Sensor - 197,54
197,Sensor - 198,54
198,Sensor - 199,54
199,Sensor - 200,54
200,Sensor - 201,54
201,Sensor - 202,54
202,Sensor - 203,54
203,Sensor - 204,54
204,Sensor - 205,54
205,Sensor - 206,54
206,Sensor - 207,54
207,Sensor - 208,54
208,Sensor - 209,54
209,Sensor - 210,54
210,Sensor - 211,264
211,Sensor - 212,264
212,Sensor - 213,264
213,Sensor - 214,264
214,Sensor - 215,264
215,Sensor - 216,264
216,Sensor - 217,264
217,Sensor - 218,264
218,Sensor - 219,11
219,Sensor - 220,22
220,Sensor - 221,6629
221,Sensor - 222,0
222,Sensor - 223,0
223,Sensor - 224,0
224,Sensor - 225,552
225,Sensor - 226,552
226,Sensor - 227,53
227,Sensor - 228,22
228,Sensor - 229,22
229,Sensor - 230,53
230,Sensor - 231,53
231,Sensor - 232,53
232,Sensor - 233,53
233,Sensor - 234,53
234,Sensor - 235,53
235,Sensor - 236,53
236,Sensor - 237,53
237,Sensor - 238,53
238,Sensor - 239,22
239,Sensor - 240,22
240,Sensor - 241,53
241,Sensor - 242,53
242,Sensor - 243,53
243,Sensor - 244,53
244,Sensor - 245,3128
245,Sensor - 246,3128
246,Sensor - 247,3128
247,Sensor - 248,6025
248,Sensor - 249,0
249,Sensor - 250,0
250,Sensor - 251,0
251,Sensor - 252,0
252,Sensor - 253,0
253,Sensor - 254,264
254,Sensor - 255,0
255,Sensor - 256,0
256,Sensor - 257,33
257,Sensor - 258,33
258,Sensor - 259,33
259,Sensor - 260,33
260,Sensor - 261,33
261,Sensor - 262,33
262,Sensor - 263,33
263,Sensor - 264,33
264,Sensor - 265,33
265,Sensor - 266,33
266,Sensor - 267,33
267,Sensor - 268,33
268,Sensor - 269,33
269,Sensor - 270,33
270,Sensor - 271,0
271,Sensor - 272,11
272,Sensor - 273,33
273,Sensor - 274,143
274,Sensor - 275,143
275,Sensor - 276,143
276,Sensor - 277,143
277,Sensor - 278,143
278,Sensor - 279,88
279,Sensor - 280,22
280,Sensor - 281,22
281,Sensor - 282,22
282,Sensor - 283,22
283,Sensor - 284,22
284,Sensor - 285,33
285,Sensor - 286,33
